Sl. No.,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Engine_Location,Fuel_System,Fuel_Tank_Capacity_litre,Fuel_Type,Height_mm,Length_mm,Width_mm,Body_Type,Doors,City_Mileage_km_litre,Highway_Mileage_km_litre,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space_litre,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
481,Mahindra,Xuv500,W9 At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R17,P235/65R17,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700 mm,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Drive side airbag",Yes,Yes,Yes,Yes,2,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
482,Mahindra,Xuv500,W11,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R15,P235/65R15,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700 mm,P235/65R15,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
483,Mahindra,Xuv500,W11 At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R17,P235/65R17,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700 mm,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
484,Mahindra,Xuv500,W11 (O),2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/60 R18,P235/60 R18,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700 mm,P235/60 R18,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
485,Mahindra,Xuv500,W11 (O) At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/60 R18,P235/60 R18,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700 mm,P235/60 R18,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
486,Mahindra,Xuv500,G At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Petrol,1785,4585,1890,SUV,5,,,13.85 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,235/65R17,235/65R17,Electric Power,All Windows,,Yes,140PS@4500rpm,320Nm@2000 - 3000rpm,Digital,Analog,Analog,Yes,7,Fabric,Automatic,2700 mm,235/65R17,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,With Remote,96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,16.5:1,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
487,Mahindra,Xuv500,W7,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Longitudinal",Injection,70,Diesel,1785,4585,1890,SUV,5,16,15.1,15.1 km/litre,,1785 kg,6,200 mm,Solid Disc,Solid Disc,McPherson type with anti-roll bar,Multilink type with anti-roll bar,1600 mm,1600 mm,P235/65 R17,P235/65 R17,Hydraulic Power,All Windows,Yes,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,,,Yes,,7,Fabric,Manual,2700 mm,17,Yes,,CD Player with USB & Aux-in,Yes,,3 years /100000 Kms (years/distance whichever comes first),Yes,Internal,,Yes,,Yes,Digital,Yes,,Yes,,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,,Manual,Analog,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,,,,,,,,Yes,,,,Yes,,,,,Yes,2450 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,,Yes,,2,16.5,"Rake, Reach",,Air Conditioner : Standard,,,Yes,,,,Touch Sensitive,Yes,,,Electric Adjustment,Yes,Yes,,,Yes,,Yes,,,Yes,,Yes,,,,,,Yes,,,,,
488,Mahindra,Xuv500,W7 At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R17,P235/65R17,Electric Power,All Windows,,Yes,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Fabric,Automatic,2700 mm,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,16.5:1,"Rake, Reach",,,Rear sensors,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
489,Mahindra,Xuv500,W9,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R15,P235/65R15,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700 mm,P235/65R15,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
490,Mahindra,Xuv500,W9 At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R17,P235/65R17,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700 mm,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Drive side airbag",Yes,Yes,Yes,Yes,2,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
491,Mahindra,Xuv500,W11,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R15,P235/65R15,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700 mm,P235/65R15,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
492,Mahindra,Xuv500,W11 At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/65R17,P235/65R17,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700 mm,P235/65R17,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
493,Mahindra,Xuv500,W11 (O),2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/60 R18,P235/60 R18,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700 mm,P235/60 R18,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
494,Mahindra,Xuv500,W11 (O) At,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/60 R18,P235/60 R18,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700 mm,P235/60 R18,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
495,Mahindra,Xuv500,W11 (O) Awd,2179,4,4,AWD (All Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/60 R18,P235/60 R18,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Manual,2700 mm,P235/60 R18,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Rear passenger side airbags",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
496,Mahindra,Xuv500,W11 (O) Awd At,2179,4,4,AWD (All Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink Type with Coil Spring,1600 mm,1600 mm,P235/60 R18,P235/60 R18,Electric Power,All Windows,,Smart Key,155PS@3750rpm,330Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2700 mm,P235/60 R18,Yes,3,CD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"With Remote, Internal",96,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6,16.5:1,"Reach, Rake",,,Rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,
497,Mahindra,Xuv500,W3,2179,4,4,FWD (Front Wheel Drive),In-line,"Front, Transverse",Injection,70,Diesel,1785,4585,1890,SUV,5,16,,16 km/litre,,1785 kg,6,200 mm,Ventilated Disc,Ventilated Disc,McPherson type with anti-roll bar,Multilink type with anti-roll bar,1600 mm,1600 mm,P235/65 R17,P235/65 R17,Electric Power,All Windows,,,155PS@3750rpm,360Nm@1750-2800rpm,Digital,Analog,Analog,Yes,7,Fabric,Manual,2700 mm,P235/65 R17,,Yes,Not on offer,,,3 years /100000 Kms (years/distance whichever comes first),,Internal,96,,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"4th years /1,20,000 Kms (years/distance whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,5.6,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2510 kg,"Driver frontal airbag, Front passenger frontal airbag",,Yes,Yes,,2,16.5:1,Rake,,,,Yes,,,,,,,,,Manual Adjustment,,Yes,,Yes,,,,,,Yes,,,,,,,,,,,,,
498,Mahindra,E Verito,D4,72,,,FWD (Front Wheel Drive),,,,,Electric,1540,4247,1740,Sedan,4,11,,,,,,,Ventilated Disc,Drum,Macpherson-type with wishbone link,H-Section torsion beam with programmed deflection-coil spring,,,185/70R14,185/70R14,Electro-Hydraulic,All Windows,,Remote,41PS@3500RPM,91Nm@3000rpm,Digital,Yes,Analog,Yes,5,Fabric,Automatic,2630 mm,185/70R14,,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,,"2 Years / 40,000 Kms (Whichever comes earlier)",,Internal,510,Yes,,Yes,Digital,Centre,Yes,"Front, Front & Rear",Yes,,Yes,Internal,Digital,Manual,Analog + Digital,Yes,5.25,Yes,Driver & Front Passenger,,Manual Air conditioning with cooling and heating,,Yes,,,,,,Yes,,,,Yes,,,,Yes,All Rows,1700 kg,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ampere-hour,110 km/full charge
499,Mahindra,E Verito,D2,72,,,FWD (Front Wheel Drive),,,,,Electric,1540,4247,1740,Sedan,4,11,,,,,,,Ventilated Disc,Drum,Macpherson-type with wishbone link,H-Section torsion beam with programmed deflection-coil spring,,,185/70R14,185/70R14,Electro-Hydraulic,All Windows,,,41PS@3500RPM,91Nm@3000rpm,Digital,Analog,Analog,Yes,5,Fabric,Automatic,2630 mm,185/70R14,,1,Not on offer,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Internal,510,,,Yes,,Centre,Yes,,,3rd Year / up to 75000km from the date of delivery (whichever comes first),,Internal,Digital,Manual,Analog,Yes,5.25,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,Yes,,,,,,Yes,,,,Yes,,,,,All Rows,1700 kg,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ampere-hour,110 km/full charge
